"Est-ce que vous  voulez  participer à l’étude ?";"Fréquentez vous le restaurant universitaire ?";"Quel est votre sexe?";"Bénéficiez-vous d'une quelconque aide?";"De quelle aide s'agit-il?";"Quel est votre cycle d'étude??";"Année de cycle";"Quelle est votre filière?";"Pouvez-vous nous préciser la filière s'il vous plait?";"Residez-vous en cité universitaire?";"Suivez-vous un régime  alimentaire particulier?";"Veuillez nous précisez le regime dont il est question :";"A quelle fréquence fréquentez vous le  RU?";"Quel est votre niveau de satisfaction générale?";"Les prix des repas vous semblent-ils adaptés à votre budget?";"Qu'en est il de la qualité des repas ?";"Êtes-vous satisfait de la quantité servie?";"Quels sont les menus que vous avez pris dans la dernière semaine ?";"Quels sont les menus que vous avez pris dans la dernière semaine ?/Haricot";"Quels sont les menus que vous avez pris dans la dernière semaine ?/Riz sauce";"Quels sont les menus que vous avez pris dans la dernière semaine ?/Riz gras";"Quels sont les menus que vous avez pris dans la dernière semaine ?/Degué";"Quels sont les menus que vous avez pris dans la dernière semaine ?/Yaourt";"Quels sont les menus que vous avez pris dans la dernière semaine ?/Crudité";"Quels sont les menus que vous avez pris dans la dernière semaine ?/Hambourger";"Quels sont les menus que vous avez pris dans la dernière semaine ?/Gonré";"Quels sont les menus que vous avez pris dans la dernière semaine ?/Soupe";"Quels sont les menus que vous avez pris dans la dernière semaine ?/Gâteau";"Quels sont les menus que vous avez pris dans la dernière semaine ?/Alloco";"Quels sont les menus que vous avez pris dans la dernière semaine ?/Couscous";"Quels sont les menus que vous avez pris dans la dernière semaine ?/Haricot vert";"Quels sont les menus que vous avez pris dans la dernière semaine ?/Tô";"Quels sont les menus que vous avez pris dans la dernière semaine ?/Spaguetti";"Quels sont les menus que vous avez pris dans la dernière semaine ?/Macoroni";"nbPlat";"Les plats servis sont-ils variés   ?";"Qu'en est il de l'hygiène au RU (locaux et matériels)  ?";"Comment trouvez-vous l'acceuil du personnel?";"Temps d'attente";"Rapport qualité/prix";"A combien estimez vous votre budget mensuel alloué au RU?";"Avez_vous des suggestions à faire pour améliorer le RU?";"Veuillez entrer vos suggestions :";"Pour quelles raisons vous ne prenez pas les services du RU ?";"Pour quelles raisons vous ne prenez pas les services du RU ?/Qualité médiocre des repas";"Pour quelles raisons vous ne prenez pas les services du RU ?/Prix trop élevés";"Pour quelles raisons vous ne prenez pas les services du RU ?/Files d’attente trop longues";"Pour quelles raisons vous ne prenez pas les services du RU ?/Horaires inadaptés";"Pour quelles raisons vous ne prenez pas les services du RU ?/Manque d'hygiène";"Pour quelles raisons vous ne prenez pas les services du RU ?/Préférence pour d’autres options (fast-food, repas maison…)";"Pour quelles raisons vous ne prenez pas les services du RU ?/Autres à préciser";"Veuillez préciser les raisons de votre non fréquentation du RU";"APPRECIATION DES SERVICES DU RESTAURANT UNIVERSITAIRE";"_uuid";"_index"
"Oui, je  veux y participer";"Oui, je fréquente";"Masculin";"oui";"Bourse";"Licence";"1ere";"LPAS";"";"non";"non";"";"Quelques fois par semaine";"satisfait";"oui";"Pas bonne";"satisfait";"Riz sauce";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"Oui";"Bonne";"Bon";"20 à 40 mn";"Bon";"1500";"oui";"Améliorer la qualité des plats servis, améliorer l'hygiène des locaux et du matériels";"";"";"";"";"";"";"";"";"";"";"4095a805-45cf-4b59-80ed-e9685c523bb0";"27"
"Oui, je  veux y participer";"Non, je ne fréquente pas!";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Files d’attente trop longues Horaires inadaptés Manque d'hygiène";"0";"0";"1";"1";"1";"0";"0";"";"";"8df51013-e125-4aed-97f7-f802ef659ce9";"28"
"Oui, je  veux y participer";"Oui, je fréquente";"Masculin";"oui";"Bourse";"Licence";"2e";"LPAS";"";"non";"non";"";"Rarement";"Peu satisfait";"oui";"Bonne";"satisfait";"Riz gras";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"Oui";"Bonne";"Pas de tout bon";"20 à 40 mn";"Très bon";"500";"oui";"Ouvrir plus de chaînes , filiaile pour chaque UFR, Chacun améné son plat";"";"";"";"";"";"";"";"";"";"";"75485121-bf68-4a23-b742-a42df781f477";"29"
"Oui, je  veux y participer";"Oui, je fréquente";"Féminin";"oui";"Bourse";"Licence";"2e";"LPAS";"";"non";"non";"";"Rarement";"Peu satisfait";"oui";"Pas bonne";"Très satisfait";"Riz gras Yaourt Gonré";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"3";"Oui";"Bonne";"Bon";"20 à 40 mn";"Très bon";"1000";"oui";"Créer des nouvelles chaînes; Propriété (lavant plus bien les materiels)";"";"";"";"";"";"";"";"";"";"";"fbe46be9-c219-4af7-8257-4b118038ecdf";"30"
"Oui, je  veux y participer";"Oui, je fréquente";"Féminin";"oui";"Bourse";"Licence";"2e";"LPAS";"";"non";"non";"";"Rarement";"Peu satisfait";"oui";"Bonne";"Peu satisfait";"Riz gras Degué";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"Oui";"Bonne";"Pas bon";"Moins de 20 mn";"Bon";"3000";"oui";"Augmenter les tablettes et chaines";"";"";"";"";"";"";"";"";"";"";"a42f3a2d-cca1-4bf3-8e4e-cee619365905";"31"
"Oui, je  veux y participer";"Oui, je fréquente";"Masculin";"oui";"Bourse";"Licence";"2e";"LPAS";"";"non";"non";"";"Quelques fois par semaine";"Très satisfait";"oui";"Bonne";"Très satisfait";"Crudité";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"Oui";"Très bonne";"Bon";"Moins de 20 mn";"Très bon";"1200";"oui";"Mettre en place un guichet d'achat de tickets (pour prendre en compte les sans coptes); Les fruits(desert)";"";"";"";"";"";"";"";"";"";"";"07400121-7ece-4249-97c5-e069e5d26505";"32"
"Oui, je  veux y participer";"Non, je ne fréquente pas!";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Files d’attente trop longues Préférence pour d’autres options (fast-food, repas maison…)";"0";"0";"1";"0";"0";"1";"0";"";"";"110d63ab-0bad-4605-81ee-24d6146cc601";"33"
"Oui, je  veux y participer";"Oui, je fréquente";"Masculin";"oui";"Prêt";"Master";"1ere";"Démographie";"";"non";"non";"";"Tous les jours";"Peu satisfait";"oui";"Bonne";"satisfait";"Haricot Riz gras Degué Couscous Tô";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"5";"Oui";"Pas de tout bonne";"Bon";"40 à 1h";"Bon";"5000";"oui";"Travailler a reduire les temps d'attents";"";"";"";"";"";"";"";"";"";"";"a491b567-2178-4865-ac72-eb12d2f86764";"34"
"Oui, je  veux y participer";"Oui, je fréquente";"Masculin";"non";"";"Master";"1ere";"Démographie";"";"non";"non";"";"Quelques fois par semaine";"satisfait";"oui";"Bonne";"satisfait";"Riz sauce Yaourt";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"Oui";"Bonne";"Pas bon";"20 à 40 mn";"Bon";"2000";"oui";"Diversifier les ru, améliorer davantage la qualité, la propreté est à améliorer.";"";"";"";"";"";"";"";"";"";"";"fb671431-5867-4910-802b-b96c59bcd6b1";"35"
"Oui, je  veux y participer";"Oui, je fréquente";"Masculin";"non";"";"Master";"1ere";"Démographie";"";"non";"oui";"Autre";"Rarement";"Peu satisfait";"oui";"Pas bonne";"Peu satisfait";"Spaguetti";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"Oui";"Pas bonne";"Bon";"20 à 40 mn";"Pas bon";"1500";"non";"";"";"";"";"";"";"";"";"";"";"";"b3bc4c1b-a0fb-46dc-8f45-75a75595a846";"36"
"Oui, je  veux y participer";"Oui, je fréquente";"Masculin";"non";"";"Master";"1ere";"Démographie";"";"non";"non";"";"Tous les jours";"Très satisfait";"oui";"Bonne";"Très satisfait";"Riz sauce Riz gras Yaourt Tô Spaguetti";"0";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"5";"Oui";"Pas bonne";"Bon";"Moins de 20 mn";"Bon";"2000";"non";"";"";"";"";"";"";"";"";"";"";"";"383e906f-2424-4ac3-bcbb-6ddc6508aac4";"37"
"Oui, je  veux y participer";"Oui, je fréquente";"Masculin";"oui";"Prêt";"Master";"1ere";"Démographie";"";"non";"non";"";"Quelques fois par semaine";"Peu satisfait";"oui";"Bonne";"Peu satisfait";"Haricot Riz sauce Tô";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"3";"Oui";"Pas bonne";"Pas bon";"20 à 40 mn";"Bon";"3500";"non";"";"";"";"";"";"";"";"";"";"";"";"1ea13bdf-82db-4fa9-b1b5-dc7b96c12c99";"38"
"Oui, je  veux y participer";"Oui, je fréquente";"Masculin";"non";"";"Master";"2e";"Démographie";"";"non";"non";"";"Quelques fois par semaine";"satisfait";"oui";"Bonne";"Très satisfait";"Haricot Riz sauce Riz gras";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"Oui";"Bonne";"Bon";"Moins de 20 mn";"Bon";"3000";"non";"";"";"";"";"";"";"";"";"";"";"";"7203601f-5552-4c34-8bfd-59346e471f6f";"39"
